ep, reward
125, 14.9927
126, 12.994
127, 12.993899999999998
128, 13.9929
129, 15.992099999999999
130, 16.9908
131, 14.992899999999997
132, 13.9931
133, 15.991699999999998
134, 12.993599999999999
135, 14.992599999999998
136, 14.992599999999998
137, 14.992599999999998
138, 13.9935
139, 15.992499999999996
140, 14.992399999999998
141, 14.993099999999997
142, 14.992699999999997
143, 11.9942
144, 16.9916
145, 13.993500000000001
146, 14.9927
147, 15.992099999999997
148, 12.994
149, 14.992999999999999
150, 15.992199999999999
151, 15.991599999999998
152, 14.992599999999998
153, 14.9927
154, 13.9936
155, 14.992399999999998
156, 14.992599999999998
157, 12.9939
158, 14.992399999999998
159, 15.992199999999999
160, 15.992199999999997
161, 11.994400000000002
162, 12.9939
163, 14.992399999999998
164, 14.9927
165, 12.993799999999998
166, 14.992599999999998
167, 14.992799999999999
168, 14.9927
169, 15.991999999999997
170, 14.992899999999999
171, 14.9925
172, 13.993399999999998
173, 14.992399999999998
174, 14.992599999999998
175, 14.992899999999999
176, 14.992999999999997
177, 15.991999999999997
178, 15.991899999999998
179, 14.992599999999998
180, 14.9925
181, 15.992299999999998
182, 14.992999999999997
183, 14.9925
184, 14.992599999999998
185, 14.9925
186, 12.9941
187, 14.9927
188, 12.993699999999999
189, 14.992799999999999
190, 14.992399999999998
191, 14.992599999999998
192, 12.993899999999998
193, 12.994
194, 14.992599999999998
195, 14.992599999999998
196, 15.991999999999999
197, 14.992599999999998
198, 14.9925
199, 14.992899999999997
200, 15.992299999999998
201, 13.993299999999998
202, 12.994000000000002
203, 14.992599999999998
204, 14.992399999999998
205, 14.992399999999998
206, 14.992599999999998
207, 12.9939
208, 14.992799999999997
209, 12.993699999999999
210, 12.994
211, 14.992599999999998
212, 14.992799999999997
213, 14.992599999999998
214, 14.992599999999998
215, 14.992599999999998
216, 14.992799999999999
217, 14.9925
218, 14.992599999999998
219, 13.9932
220, 15.991999999999997
221, 13.9932
222, 14.992999999999997
223, 16.9915
224, 14.9927
225, 14.992599999999998
226, 14.992599999999998
227, 14.9927
228, 14.9927
229, 14.992599999999998
230, 14.992599999999998
231, 15.9922
232, 14.992599999999998
233, 14.9925
234, 14.992399999999998
235, 14.992599999999998
236, 14.9925
237, 14.9925
238, 14.992599999999998
239, 15.991800000000001
240, 14.9925
241, 15.9922
242, 14.992599999999998
243, 14.992599999999998
244, 14.9925
245, 14.992599999999998
246, 14.992599999999998
247, 14.992599999999998
248, 14.992599999999998
249, 14.9925
250, 14.9927
251, 14.992799999999999
252, 14.992599999999998
253, 12.993799999999998
254, 14.992599999999998
255, 13.993299999999998
256, 14.992399999999998
